,,,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors
Rk,Year,Seed,Tm,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,2002,3,Los Angeles Lakers,28.1,15,4,0.789,12,7,106.4,102.3,4.1,91.5,0.349,0.224,0.527,,0.482,12.9,29.1,0.252,,0.455,12.1,72.9,0.231
2,2002,2,San Antonio Spurs,28.3,4,6,0.400,6,4,106.2,102.7,3.5,85.8,0.349,0.193,0.518,,0.465,11.2,26.6,0.266,,0.466,11.4,72.4,0.175
3,2002,3,Boston Celtics,27.1,9,7,0.563,10,6,101.5,98.4,3.1,89.9,0.292,0.292,0.515,,0.469,13.8,25.0,0.226,,0.450,14.3,75.1,0.253
4,2002,1,Sacramento Kings,27.2,10,6,0.625,9,7,106.3,103.9,2.4,93.9,0.363,0.196,0.529,,0.478,13.4,29.4,0.269,,0.460,12.9,69.6,0.222
5,2002,4,Dallas Mavericks,26.5,4,4,0.500,4,4,111.7,111.4,0.3,96.4,0.287,0.251,0.550,,0.499,11.2,24.2,0.240,,0.493,12.9,67.6,0.288
6,2002,8,Indiana Pacers,26.1,2,3,0.400,3,2,97.1,96.9,0.2,90.6,0.297,0.155,0.533,,0.489,17.5,21.5,0.226,,0.448,13.7,75.8,0.205
7,2002,4,Charlotte Hornets,28.7,4,5,0.444,4,4,103.9,103.9,0.0,90.4,0.399,0.151,0.505,,0.449,13.4,33.2,0.289,,0.454,12.4,73.4,0.291
8,2002,1,New Jersey Nets,26.4,11,9,0.550,10,10,102.3,102.3,0.0,92.3,0.324,0.176,0.503,,0.457,13.0,27.5,0.235,,0.472,14.5,72.3,0.277
9,2002,2,Detroit Pistons,29.3,4,6,0.400,5,5,96.1,96.5,-0.4,86.4,0.304,0.307,0.497,,0.454,14.9,22.9,0.220,,0.446,15.5,72.1,0.202
10,2002,8,Utah Jazz,30.0,1,3,0.250,2,2,98.6,99.8,-1.2,89.2,0.340,0.145,0.482,,0.437,15.3,33.7,0.233,,0.436,16.6,69.1,0.336
11,2002,7,Toronto Raptors,29.9,2,3,0.400,2,3,97.8,101.1,-3.3,85.7,0.267,0.137,0.486,,0.444,15.6,32.1,0.197,,0.468,15.4,74.3,0.281
12,2002,5,Orlando Magic,28.5,1,3,0.250,1,3,101.2,106.6,-5.4,88.1,0.395,0.210,0.509,,0.451,11.5,20.8,0.293,,0.445,12.8,65.9,0.310
13,2002,6,Portland Trail Blazers,29.2,0,3,0.000,1,2,99.3,105.1,-5.8,92.0,0.337,0.220,0.485,,0.423,13.5,26.9,0.268,,0.487,13.0,77.4,0.327
14,2002,6,Philadelphia 76ers,29.8,2,3,0.400,1,4,102.1,112.2,-10.1,87.2,0.435,0.177,0.508,,0.440,14.1,29.9,0.329,,0.541,13.8,76.5,0.184
15,2002,5,Minnesota Timberwolves,26.5,0,3,0.000,1,2,105.5,116.6,-11.1,96.6,0.428,0.156,0.530,,0.475,14.0,30.3,0.309,,0.521,9.9,80.8,0.277
16,2002,7,Seattle Supersonics,27.0,2,3,0.400,1,4,101.7,113.8,-12.1,84.7,0.239,0.153,0.490,,0.460,10.8,26.6,0.163,,0.503,10.0,72.7,0.263
,2002,,League Average,27.8,,,,4,4,103.3,103.3,,90.5,0.334,0.208,0.514,,0.466,13.3,27.5,0.248,,0.466,13.3,72.5,0.248
