,,,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors
Rk,Year,Seed,Tm,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,2000,3,Portland Trail Blazers,30.0,10,6,0.625,11,5,107.7,102.2,5.5,85.9,0.386,0.200,0.541,,0.481,12.9,25.9,0.303,,0.478,13.4,75.0,0.248
2,2000,2,Miami Heat,29.6,6,4,0.600,6,4,97.4,94.4,3.0,84.6,0.328,0.202,0.493,,0.451,14.1,25.7,0.227,,0.431,13.5,80.8,0.269
3,2000,1,Indiana Pacers,30.9,13,10,0.565,14,9,109.7,106.8,2.9,89.0,0.322,0.239,0.545,,0.488,11.4,25.1,0.267,,0.481,11.2,73.0,0.220
4,2000,1,Los Angeles Lakers,29.3,15,8,0.652,13,10,110.1,107.5,2.6,90.3,0.393,0.192,0.529,,0.498,11.4,30.6,0.245,,0.476,12.1,73.7,0.289
5,2000,8,Milwaukee Bucks,27.6,2,3,0.400,3,2,107.5,105.5,2.0,89.3,0.266,0.140,0.520,,0.479,11.3,28.5,0.203,,0.446,11.0,70.4,0.262
6,2000,3,New York Knicks,29.7,9,7,0.563,7,9,99.8,101.1,-1.3,84.0,0.318,0.158,0.512,,0.462,12.5,20.3,0.243,,0.442,12.5,73.3,0.250
7,2000,7,Seattle Supersonics,27.9,2,3,0.400,2,3,104.5,105.8,-1.3,89.2,0.291,0.206,0.519,,0.481,14.0,28.7,0.209,,0.508,15.5,71.9,0.214
8,2000,4,San Antonio Spurs,31.0,1,3,0.250,2,2,90.0,91.4,-1.4,90.8,0.401,0.145,0.457,,0.391,15.4,26.5,0.293,,0.421,14.5,70.8,0.149
9,2000,5,Philadelphia 76ers,27.6,5,5,0.500,5,5,106.5,108.0,-1.5,87.5,0.369,0.154,0.507,,0.452,12.0,31.2,0.274,,0.490,13.1,72.4,0.256
10,2000,6,Minnesota Timberwolves,26.6,1,3,0.250,2,2,103.4,105.8,-2.4,82.5,0.229,0.127,0.506,,0.467,12.2,27.9,0.180,,0.476,13.5,73.9,0.265
11,2000,4,Charlotte Hornets,29.2,1,3,0.250,2,2,104.6,107.8,-3.2,85.0,0.360,0.200,0.525,,0.460,15.1,32.9,0.297,,0.466,12.3,70.1,0.244
12,2000,5,Phoenix Suns,28.4,4,5,0.444,3,6,96.6,100.6,-4.0,90.5,0.274,0.204,0.474,,0.435,14.3,30.3,0.192,,0.436,13.3,68.9,0.305
13,2000,6,Toronto Raptors,29.8,0,3,0.000,1,2,97.3,101.9,-4.6,86.0,0.419,0.212,0.477,,0.403,14.1,30.7,0.324,,0.493,16.7,79.5,0.323
14,2000,2,Utah Jazz,32.2,4,6,0.400,3,7,100.6,106.2,-5.6,87.8,0.318,0.165,0.519,,0.475,14.9,26.4,0.235,,0.483,13.9,72.1,0.264
15,2000,8,Sacramento Kings,27.2,2,3,0.400,1,4,105.0,113.7,-8.7,91.8,0.370,0.215,0.512,,0.456,11.3,26.3,0.279,,0.488,10.0,62.0,0.195
16,2000,7,Detroit Pistons,28.4,0,3,0.000,0,3,88.7,100.2,-11.5,89.8,0.389,0.168,0.490,,0.435,17.3,15.4,0.279,,0.512,17.1,77.3,0.233
,2000,,League Average,29.5,,,,5,5,104.2,104.2,,87.8,0.342,0.190,0.517,,0.469,12.8,27.0,0.252,,0.469,12.8,73.0,0.252
